id,Type,StatUnmarrieds,City,State,PostalCode,GenderCode,BirthDate,MarriedaritalStatUnmarrieds,EnrolledDate,Living statUnmarrieds
0001F87E-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084,MALE,10-May-88,Married,15-Aug-18,couple with children
0001F89E-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500096,FEMALE,16-Nov-90,Married,15-Aug-18,couple with children
0001F8A4-9FE7-11e8-9E9C-00505682069A,Individual,Active,Bengaluru,KARNATAKA,560035,MALE,1-Jan-80,Married,15-Aug-18,couple with children
0001F8C2-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500024,MALE,7-Apr-94,Married,15-Aug-18,couple with children
0001F914-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500072,MALE,21-Jul-84,Married,15-Aug-18,couple with children
00028814-8130-11e9-A9F8-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500060,FEMALE,31-Dec-85,Married,28-May-19,couple with children
0002881F-8130-11e9-A9F8-0050569953B7,Individual,Active,Bengaluru,KARNATAKA,560043,FEMALE,26-Aug-89,Married,28-May-19,couple with children
0002A576-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,501218,FEMALE,14-Jun-90,Married,15-Nov-18,couple with children
0002A5E6-E8B8-11e8-A630-005056991469,Individual,Active,Mumbai,MAHARASHTRA,400025,MALE,3-Sep-74,Married,15-Nov-18,couple with children
0002A5EB-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500032,MALE,19-Dec-47,Married,15-Nov-18,couple with children
0002A609-E8B8-11e8-A630-005056991469,Individual,Active,Secunderabad,TELANGANA,500047,MALE,12-Apr-42,Married,15-Nov-18,couple with children
0002A60A-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500035,MALE,31-Mar-79,Married,15-Nov-18,couple with children
0002A621-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500004,FEMALE,9-Nov-92,Married,15-Nov-18,couple with children
0002A66B-E8B8-11e8-A630-005056991469,Individual,Active,Secunderabad,TELANGANA,500049,FEMALE,4-Oct-96,Married,15-Nov-18,couple with children
0002A67D-E8B8-11e8-A630-005056991469,Individual,Active,Secunderabad,TELANGANA,500011,MALE,22-Jun-66,Married,15-Nov-18,couple with children
0002A67E-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500091,MALE,18-Mar-63,Married,15-Nov-18,couple with children
0002A6A1-E8B8-11e8-A630-005056991469,Individual,Active,Jaipur City,RAJASTHAN,302019,MALE,9-Oct-86,Married,15-Nov-18,couple with children
0002A6A5-E8B8-11e8-A630-005056991469,Individual,Active,Bengaluru,KARNATAKA,560038,MALE,2-Jan-75,Married,15-Nov-18,couple with children
0002A800-E8B8-11e8-A630-005056991469,Individual,Active,Bengaluru,KARNATAKA,560097,FEMALE,5-Aug-83,Married,15-Nov-18,couple with children
0002A808-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500018,MALE,5-May-99,Married,15-Nov-18,couple with children
